0,0,491,0,2,150,25,0.17
0,0,146,0,13,255,1,0.88
1,0,0,0,123,255,26,0.0
0,0,232,8153,5,30,255,0.03
0,0,199,420,30,255,255,0.0
1,0,0,0,121,255,19,0.0
1,0,0,0,166,255,9,0.0
1,0,0,0,117,255,15,0.0
1,0,0,0,270,255,23,0.0
1,0,0,0,133,255,13,0.0
1,0,0,0,205,255,12,0.0
1,0,0,0,199,255,13,0.0
0,0,287,2251,3,8,219,0.12
1,0,334,0,2,2,20,1.0
1,0,0,0,233,255,1,0.0
1,0,0,0,96,255,2,0.0
0,0,300,13788,8,91,255,0.01
1,0,18,0,1,1,16,1.0
0,0,233,616,3,66,255,0.02
0,0,343,1178,9,157,255,0.01
1,0,0,0,223,255,23,0.0
1,0,0,0,280,238,17,0.0
0,0,253,11905,8,87,255,0.01
0,5607,147,105,1,255,1,1.0
1,0,0,0,248,255,2,0.0
0,507,437,14421,1,255,25,0.0
1,0,0,0,279,255,13,0.0
0,0,227,6588,5,43,255,0.02
0,0,215,10499,14,255,255,0.0
0,0,241,1400,33,255,255,0.0
1,0,8,0,1,1,53,1.0
1,0,0,0,57,255,59,0.01
0,0,303,555,9,9,255,0.11
1,0,0,0,2,255,1,0.28
0,0,45,45,181,255,250,0.0
0,1,105,147,2,41,5,0.05
0,0,43,43,122,255,255,0.01
1,0,0,0,205,255,17,0.0
0,0,324,2302,22,255,255,0.0
1,0,0,0,228,255,13,0.0
1,0,0,0,50,255,63,0.01
1,0,0,0,262,255,9,0.0
0,2,1591,372,1,181,147,0.01
0,9052,146,105,4,255,2,0.99
0,0,290,3006,11,255,255,0.0
1,0,0,0,108,255,11,0.0
1,0,28,0,80,255,80,0.31
0,0,255,861,44,255,255,0.0
1,0,334,0,2,4,38,1.0
1,0,0,0,258,255,5,0.0
0,0,302,498,10,131,255,0.01
1,0,0,0,61,255,4,0.0
1,0,28,0,2,255,2,0.01
0,0,220,1398,26,26,255,0.04
0,0,43,69,120,255,245,0.01
0,0,44,133,73,122,212,0.88
1,0,8,0,1,2,46,1.0
1,0,0,0,135,255,11,0.0
1,0,0,0,24,255,59,0.0
0,0,43,43,148,255,255,0.01
0,0,641,0,2,175,48,0.25
1,0,0,0,206,255,4,0.0
1,0,0,0,175,255,1,0.0
0,0,310,2794,4,255,255,0.0
1,0,0,0,63,255,10,0.0
0,0,696,333,1,109,133,0.01
1,0,0,0,1,236,1,0.58
1,0,0,0,52,255,67,0.0
1,0,0,0,125,255,6,0.0
1,0,0,0,168,255,21,0.0
0,0,221,2878,1,21,58,0.05
1,0,0,0,145,255,31,0.0
0,0,181,0,3,255,93,0.46
0,0,42,42,9,84,83,0.01
1,0,0,0,138,255,6,0.0
0,0,12,0,1,44,47,0.55
1,0,0,0,276,255,9,0.0
0,0,210,2790,10,48,255,0.02
0,0,321,5683,10,168,255,0.01
1,0,0,0,248,255,8,0.0
0,0,329,3982,2,24,255,0.04
1,0,0,0,135,255,7,0.0
1,0,0,0,220,255,2,0.0
1,0,8,0,1,1,95,1.0
0,0,320,379,9,123,255,0.01
1,0,0,0,212,72,7,0.01
0,0,225,3762,10,255,255,0.0
1,0,0,0,250,255,1,0.0
1,0,0,0,132,255,15,0.0
0,315,146,105,3,117,2,0.78
0,0,247,1416,11,156,255,0.01
0,0,353,1483,3,255,255,0.0
0,0,44,44,109,255,254,0.01
1,0,0,0,146,255,10,0.0
1,0,0,0,300,255,3,0.0
0,2,3065,331,1,243,119,0.0
0,0,102,102,1,7,1,0.14
0,0,259,750,4,4,255,0.25
0,1082,147,105,2,255,2,0.86
1,0,0,0,129,255,12,0.0
0,0,0,354,32,255,255,0.0
0,0,309,306,1,66,255,0.02
0,0,0,0,1,1,247,1.0
0,0,278,7227,3,153,255,0.01
1,0,28,0,82,255,182,0.71
0,0,313,761,1,43,255,0.02
0,0,219,1212,15,242,255,0.0
0,0,245,9165,2,10,255,0.1
0,0,328,2243,21,21,255,0.05
0,0,0,0,1,23,249,0.04
0,0,251,301,3,255,252,0.0
0,0,2089,335,2,255,152,0.0
0,0,0,0,1,6,255,0.17
0,0,237,511,1,3,255,0.33
0,0,324,431,4,107,255,0.01
1,25950,1,0,2,255,2,1.0
1,0,0,0,110,255,17,0.0
